data_status,round_id,group,club_id,club_name,counted,source_match_id,source_date,source_competition_type,source_competition,home_club,away_club,goals_for,goals_against,is_home,yellow_cards,red_cards,base_points,bonus_points,penalty_points,fantasy_total,fantasy_explanation,source_url,notes
loaded,GS-F1,A,cl-colo-colo,Colo-Colo,true,GS-F1-cl-colo-colo-2026-04-05,2026-04-05,local-league,Liga de Primera · F7,Deportes Concepción,Colo-Colo,1,0,false,3,0,3,1,-0.75,3.25,"base=3(vic) CS=1 3A=-0,75 total=3,25",,
loaded,GS-F1,A,cl-colo-colo,Colo-Colo,true,GS-F1-cl-colo-colo-2026-04-19,2026-04-19,local-league,Liga de Primera · F8,Colo-Colo,Palestino,0,1,true,2,0,0,0,-0.5,-0.5,"base=0(der) 2A=-0,5 total=-0,5",,
loaded,GS-F1,A,co-atletico-nacional,Atlético Nacional,true,GS-F1-co-atletico-nacional-2026-04-05,2026-04-05,local-league,Liga BetPlay · F13,Atlético Nacional,Jaguares,2,1,true,2,0,3,0,-0.5,2.5,"base=3(vic) 2A=-0,5 total=2,5",,
loaded,GS-F1,A,co-atletico-nacional,Atlético Nacional,true,GS-F1-co-atletico-nacional-2026-04-11,2026-04-11,local-league,Liga BetPlay · F14,Independiente Medellín,Atlético Nacional,3,2,false,2,0,3,0,-0.5,2.5,"base=3(vic) 2A=-0,5 total=2,5",,
loaded,GS-F1,A,pe-alianza-lima,Alianza Lima,true,GS-F1-pe-alianza-lima-2026-04-14,2026-04-14,local-league,Liga 1 · F10,ADT,Alianza Lima,1,0,false,2,0,3,1,-0.5,3.5,"base=3(vic) CS=1 2A=-0,5 total=3,5",,
loaded,GS-F1,A,pe-alianza-lima,Alianza Lima,true,GS-F1-pe-alianza-lima-2026-04-18,2026-04-18,local-league,Liga 1 · F11,Alianza Lima,Cusco FC,8,0,true,1,0,3,8,-0.25,10.75,"base=3(vic) CS=1 marg+7 1A=-0,25 total=10,75",,
loaded,GS-F1,A,bo-the-strongest,The Strongest,true,GS-F1-bo-the-strongest-2026-04-05,2026-04-05,local-league,Liga Profesional · F1,FC Univ. Vinto,The Strongest,2,1,false,1,2,3,0,-2.25,0.75,"base=3(vic) 1A=-0,25 2R=-2 total=0,75",,
loaded,GS-F1,A,bo-the-strongest,The Strongest,true,GS-F1-bo-the-strongest-2026-04-12,2026-04-12,local-league,Liga Profesional · F2,The Strongest,San Antonio Bulo Bulo,3,2,true,2,0,3,0,-0.5,2.5,"base=3(vic) 2A=-0,5 total=2,5",,
loaded,GS-F1,B,cl-universidad-de-chile,Universidad de Chile,true,GS-F1-cl-universidad-de-chile-2026-04-12,2026-04-12,local-league,Liga de Primera · F8,Ñublense,U. de Chile,0,1,false,3,0,0.0,0.0,-0.75,-0.75,"base=0(der) 3A=-0,75 total=-0,75",,
loaded,GS-F1,B,cl-universidad-de-chile,Universidad de Chile,true,GS-F1-cl-universidad-de-chile-2026-04-18,2026-04-18,local-league,Copa de la Liga,Everton,U. de Chile,0,0,false,3,0,1.0,1.0,-0.75,1.25,"base=1(emp) CS=1 3A=-0,75 total=1,25",,
